Model,Accuracy,F1 Score,Precision,Recall,ROC-AUC,TP,FP,TN,FN,Duration (seconds),Parameters
,,,,,,,,,,,
Logistic Regression Base,1520.05.00,465.51.00,846.47.00,321.19.00,1530.21.00,1732,1677,90867,7252,1.34,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree Base,1581.01.00,1195.37.00,1164.27.00,1228.29.00,1592.30.00,6622,2856,89688,2362,1.38,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest Base,1588.02.00,1257.26.00,1165.26.00,1365.12.00,1631.51.00,7359,3165,89379,1625,16.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines Base,1603.11.00,1371.22.00,1165.24.00,1665.44.00,1631.58.00,8979,3862,88682,5,52.32.00,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
k-Nearest Neighbors Base,1572.22.00,1153.41.00,1112.19.00,1198.14.00,1599.46.00,6459,3219,89325,2525,59.14.00,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
Neural Networks Base,1598.35.00,1338.05.00,1167.49.00,1566.29.00,1631.56.00,8444,3607,88937,540,56.06.00,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 1, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
Naive Bayes Base,551.35.00,341.38.00,190.53.00,1624.33.00,1399.52.00,8757,67700,24844,227,0.37,"{'priors': None, 'var_smoothing': 1e-09}"
XGBoost Base,1600.57.00,1355.18.00,1166.55.00,1616.12.00,1631.34.00,8712,3731,88813,272,2.01,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression Base,1520.05.00,465.51.00,846.47.00,321.19.00,1530.21.00,1732,1677,90867,7252,1.34,
Decision Tree Base,1581.01.00,1195.37.00,1164.27.00,1228.29.00,1592.30.00,6622,2856,89688,2362,1.38,
Random Forest Base,1588.02.00,1257.26.00,1165.26.00,1365.12.00,1631.51.00,7359,3165,89379,1625,16.0,
Gradient Boosting Machines Base,1603.11.00,1371.22.00,1165.24.00,1665.44.00,1631.58.00,8979,3862,88682,5,52.32.00,
k-Nearest Neighbors Base,1572.22.00,1153.41.00,1112.19.00,1198.14.00,1599.46.00,6459,3219,89325,2525,59.14.00,
Neural Networks Base,1598.35.00,1338.05.00,1167.49.00,1566.29.00,1631.56.00,8444,3607,88937,540,56.06.00,
Naive Bayes Base,551.35.00,341.38.00,190.53.00,1624.33.00,1399.52.00,8757,67700,24844,227,0.37,
XGBoost Base,1600.57.00,1355.18.00,1166.55.00,1616.12.00,1631.34.00,8712,3731,88813,272,2.01,
Logistic Regression VarThreshold,1520.09.00,465.02.00,847.49.00,320.23.00,1529.44.00,1727,1668,90876,7257,1.31,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree VarThreshold,1580.52.00,1195.17.00,1163.00.00,1229.24.00,1593.13.00,6627,2870,89674,2357,1.04,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest VarThreshold,1588.10.00,1258.37.00,1165.18.00,1368.10.00,1631.51.00,7375,3173,89371,1609,12.05,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines VarThreshold,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1632.07.00,8974,3859,88685,10,27.0,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
k-Nearest Neighbors VarThreshold,1573.10.00,1158.37.00,1115.45.00,1204.55.00,1601.08.00,6495,3207,89337,2489,54.08.00,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
Neural Networks VarThreshold,1599.17.00,1342.59.00,1167.53.00,1579.51.00,1632.12.00,8516,3637,88907,468,41.19.00,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 1, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
Naive Bayes VarThreshold,443.02.00,323.21.00,179.04.00,1664.15.00,1459.23.00,8971,74527,18017,13,0.28,"{'priors': None, 'var_smoothing': 1e-09}"
XGBoost VarThreshold,1600.23.00,1352.34.00,1164.36.00,1612.52.00,1631.45.00,8694,3748,88796,290,1.21,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression VarThreshold,1520.09.00,465.02.00,847.49.00,320.23.00,1529.44.00,1727,1668,90876,7257,1.31,
Decision Tree VarThreshold,1580.52.00,1195.17.00,1163.00.00,1229.24.00,1593.13.00,6627,2870,89674,2357,1.04,
Random Forest VarThreshold,1588.10.00,1258.37.00,1165.18.00,1368.10.00,1631.51.00,7375,3173,89371,1609,12.05,
Gradient Boosting Machines VarThreshold,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1632.07.00,8974,3859,88685,10,27.0,
k-Nearest Neighbors VarThreshold,1573.10.00,1158.37.00,1115.45.00,1204.55.00,1601.08.00,6495,3207,89337,2489,54.08.00,
Neural Networks VarThreshold,1599.17.00,1342.59.00,1167.53.00,1579.51.00,1632.12.00,8516,3637,88907,468,41.19.00,
Naive Bayes VarThreshold,443.02.00,323.21.00,179.04.00,1664.15.00,1459.23.00,8971,74527,18017,13,0.28,
XGBoost VarThreshold,1600.23.00,1352.34.00,1164.36.00,1612.52.00,1631.45.00,8694,3748,88796,290,1.21,
Logistic Regression CorrelationFiltering,1520.09.00,464.50.00,847.49.00,320.12.00,1530.20.00,1726,1667,90877,7258,1.43,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree CorrelationFiltering,1581.03.00,1195.50.00,1164.33.00,1228.51.00,1593.03.00,6624,2856,89688,2360,1.35,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest CorrelationFiltering,1588.06.00,1258.02.00,1165.22.00,1366.41.00,1631.49.00,7367,3169,89375,1617,16.37,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines CorrelationFiltering,1603.11.00,1371.22.00,1165.24.00,1665.44.00,1631.58.00,8979,3862,88682,5,50.24.00,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
k-Nearest Neighbors CorrelationFiltering,1572.47.00,1156.10.00,1114.12.00,1201.24.00,1600.16.00,6476,3211,89333,2508,57.27.00,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
Neural Networks CorrelationFiltering,1599.49.00,1347.34.00,1166.33.00,1595.03.00,1631.33.00,8598,3686,88858,386,43.6,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 1, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
Naive Bayes CorrelationFiltering,720.04.00,384.48.00,218.36.00,1605.38.00,1398.53.00,8655,57335,35209,329,0.35,"{'priors': None, 'var_smoothing': 1e-09}"
XGBoost CorrelationFiltering,1601.28.00,1358.49.00,1166.56.00,1626.13.00,1631.33.00,8766,3754,88790,218,1.42,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression CorrelationFiltering,1520.09.00,464.50.00,847.49.00,320.12.00,1530.20.00,1726,1667,90877,7258,1.43,
Decision Tree CorrelationFiltering,1581.03.00,1195.50.00,1164.33.00,1228.51.00,1593.03.00,6624,2856,89688,2360,1.35,
Random Forest CorrelationFiltering,1588.06.00,1258.02.00,1165.22.00,1366.41.00,1631.49.00,7367,3169,89375,1617,16.37,
Gradient Boosting Machines CorrelationFiltering,1603.11.00,1371.22.00,1165.24.00,1665.44.00,1631.58.00,8979,3862,88682,5,50.24.00,
k-Nearest Neighbors CorrelationFiltering,1572.47.00,1156.10.00,1114.12.00,1201.24.00,1600.16.00,6476,3211,89333,2508,57.27.00,
Neural Networks CorrelationFiltering,1599.49.00,1347.34.00,1166.33.00,1595.03.00,1631.33.00,8598,3686,88858,386,43.6,
Naive Bayes CorrelationFiltering,720.04.00,384.48.00,218.36.00,1605.38.00,1398.53.00,8655,57335,35209,329,0.35,
XGBoost CorrelationFiltering,1601.28.00,1358.49.00,1166.56.00,1626.13.00,1631.33.00,8766,3754,88790,218,1.42,
Logistic Regression vif,1519.07.00,448.47.00,832.20.00,307.13.00,1507.39.00,1656,1660,90884,7328,2.02,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree vif,1580.56.00,1195.02.00,1164.11.00,1227.33.00,1593.31.00,6617,2856,89688,2367,1.34,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest vif,1588.10.00,1258.27.00,1165.34.00,1367.26.00,1631.51.00,7371,3169,89375,1613,16.22,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines vif,1603.08.00,1371.04.00,1165.21.00,1665.00.00,1632.07.00,8975,3861,88683,9,48.33.00,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
k-Nearest Neighbors vif,1573.30.00,1159.59.00,1118.07.00,1205.06.00,1600.41.00,6496,3187,89357,2488,56.4,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
Neural Networks vif,1599.26.00,1344.21.00,1167.19.00,1584.40.00,1632.02.00,8542,3654,88890,442,43.8,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 1, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
Naive Bayes vif,1378.03.00,610.46.00,451.34.00,943.21.00,1362.10.00,5085,13683,78861,3899,0.44,"{'priors': None, 'var_smoothing': 1e-09}"
XGBoost vif,1601.02.00,1356.15.00,1166.13.00,1620.17.00,1631.34.00,8734,3748,88796,250,1.37,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression vif,1519.07.00,448.47.00,832.20.00,307.13.00,1507.39.00,1656,1660,90884,7328,2.02,
Decision Tree vif,1580.56.00,1195.02.00,1164.11.00,1227.33.00,1593.31.00,6617,2856,89688,2367,1.34,
Random Forest vif,1588.10.00,1258.27.00,1165.34.00,1367.26.00,1631.51.00,7371,3169,89375,1613,16.22,
Gradient Boosting Machines vif,1603.08.00,1371.04.00,1165.21.00,1665.00.00,1632.07.00,8975,3861,88683,9,48.33.00,
k-Nearest Neighbors vif,1573.30.00,1159.59.00,1118.07.00,1205.06.00,1600.41.00,6496,3187,89357,2488,56.4,
Neural Networks vif,1599.26.00,1344.21.00,1167.19.00,1584.40.00,1632.02.00,8542,3654,88890,442,43.8,
Naive Bayes vif,1378.03.00,610.46.00,451.34.00,943.21.00,1362.10.00,5085,13683,78861,3899,0.44,
XGBoost vif,1601.02.00,1356.15.00,1166.13.00,1620.17.00,1631.34.00,8734,3748,88796,250,1.37,
Logistic Regression kbest k:5,1517.33.00,400.47.00,805.20.00,266.46.00,1499.28.00,1438,1538,91006,7546,0.36,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree kbest k:5,1581.06.00,1196.27.00,1164.34.00,1230.09.00,1593.38.00,6631,2859,89685,2353,0.44,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest kbest k:5,1588.20.00,1260.18.00,1164.50.00,1372.49.00,1631.46.00,7400,3188,89356,1584,10.41,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines kbest k:5,1603.09.00,1371.06.00,1165.29.00,1664.49.00,1631.51.00,8974,3859,88685,10,16.39,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
k-Nearest Neighbors kbest k:5,1587.41.00,1255.22.00,1164.11.00,1362.03.00,1626.38.00,7342,3169,89375,1642,8.27,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
Neural Networks kbest k:5,1602.50.00,1369.00.00,1165.16.00,1659.04.00,1632.14.00,8943,3848,88696,41,14.33,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 1, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
Naive Bayes kbest k:5,1501.57.00,519.40.00,676.58.00,421.41.00,1512.45.00,2273,3323,89221,6711,0.26,"{'priors': None, 'var_smoothing': 1e-09}"
XGBoost kbest k:5,1601.20.00,1358.41.00,1165.30.00,1628.38.00,1632.17.00,8779,3775,88769,205,1.18,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 1, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}"
Logistic Regression kbest k:10,1519.41.00,463.57.00,840.38.00,320.23.00,1529.43.00,1727,1697,90847,7257,1.07,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 1, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
Decision Tree kbest k:10,1581.00.00,1195.30.00,1164.24.00,1228.18.00,1592.42.00,6621,2856,89688,2363,0.48,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}"
Random Forest kbest k:10,1588.22.00,1259.51.00,1165.56.00,1370.13.00,1631.50.00,7386,3172,89372,1598,10.29,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 1, 'verbose': 0, 'warm_start': False}"
Gradient Boosting Machines kbest k:10,1603.08.00,1371.02.00,1165.24.00,1664.49.00,1631.50.00,8974,3860,88684,10,19.05,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 1, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
k-Nearest Neighbors kbest k:10,1583.46.00,1227.40.00,1155.07.00,1309.55.00,1620.16.00,7061,3127,89417,1923,22.54,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
